product,state,rider,coverage_type,gender,age_min,age_max,monthly_rate,daily_benefit,benefit_amount,units,plan_type,available
H34,TX,BASE,IND,MALE,60,64,54.0,150,,,,Y
H34,TX,BASE,IND,MALE,65,69,72.75,150,,,,Y
H34,TX,BASE,IND,MALE,70,74,89.25,150,,,,Y
H34,TX,BASE,IND,MALE,75,80,108.0,150,,,,Y
H34,TX,BASE,IND,FEMALE,19,34,12.0,150,,,,Y
H34,TX,BASE,IND,FEMALE,35,44,19.5,150,,,,Y
H34,TX,BASE,IND,FEMALE,45,54,25.5,150,,,,Y
H34,TX,BASE,IND,FEMALE,55,59,33.75,150,,,,Y
H34,TX,BASE,IND,FEMALE,60,64,49.5,150,,,,Y
H34,TX,BASE,IND,FEMALE,65,69,67.5,150,,,,Y
H34,TX,BASE,IND,FEMALE,70,74,84.0,150,,,,Y
H34,TX,BASE,IND,FEMALE,75,80,103.5,150,,,,Y
H34,TX,RECUP,IND,MALE,19,34,3.9,50,,,,Y
H34,TX,RECUP,IND,MALE,35,44,7.0,50,,,,Y
H34,TX,RECUP,IND,MALE,45,54,11.65,50,,,,Y
H34,TX,RECUP,IND,MALE,55,59,17.7,50,,,,Y
H34,TX,RECUP,IND,MALE,60,64,26.4,50,,,,Y
H34,TX,RECUP,IND,MALE,65,69,35.55,50,,,,Y
H34,TX,RECUP,IND,MALE,70,74,43.65,50,,,,Y
H34,TX,RECUP,IND,MALE,75,80,52.2,50,,,,Y
H34,TX,RECUP,IND,FEMALE,19,34,6.8,50,,,,Y
H34,TX,RECUP,IND,FEMALE,35,44,10.9,50,,,,Y
H34,TX,RECUP,IND,FEMALE,45,54,13.7,50,,,,Y
H34,TX,RECUP,IND,FEMALE,55,59,17.25,50,,,,Y
H34,TX,RECUP,IND,FEMALE,60,64,24.4,50,,,,Y
H34,TX,RECUP,IND,FEMALE,65,69,33.5,50,,,,Y
H34,TX,RECUP,IND,FEMALE,70,74,41.7,50,,,,Y
H34,TX,RECUP,IND,FEMALE,75,80,50.4,50,,,,Y
H34,TX,RECUP,IND,MALE,19,34,5.85,75,,,,Y
H34,TX,RECUP,IND,MALE,35,44,10.5,75,,,,Y
H34,TX,RECUP,IND,MALE,45,54,17.48,75,,,,Y
H34,TX,RECUP,IND,MALE,55,59,26.55,75,,,,Y
H34,TX,RECUP,IND,MALE,60,64,39.6,75,,,,Y
H34,TX,RECUP,IND,MALE,65,69,53.33,75,,,,Y
H34,TX,RECUP,IND,MALE,70,74,65.48,75,,,,Y
H34,TX,RECUP,IND,MALE,75,80,78.3,75,,,,Y
H34,TX,RECUP,IND,FEMALE,19,34,10.2,75,,,,Y
H34,TX,RECUP,IND,FEMALE,35,44,16.35,75,,,,Y
H34,TX,RECUP,IND,FEMALE,45,54,20.55,75,,,,Y
H34,TX,RECUP,IND,FEMALE,55,59,25.88,75,,,,Y
H34,TX,RECUP,IND,FEMALE,60,64,36.6,75,,,,Y
H34,TX,RECUP,IND,FEMALE,65,69,50.25,75,,,,Y
H34,TX,RECUP,IND,FEMALE,70,74,62.55,75,,,,Y
H34,TX,RECUP,IND,FEMALE,75,80,75.6,75,,,,Y
H34,TX,RECUP,IND,MALE,19,34,7.8,100,,,,Y
H34,TX,RECUP,IND,MALE,35,44,14.0,100,,,,Y
H34,TX,RECUP,IND,MALE,45,54,23.3,100,,,,Y
H34,TX,RECUP,IND,MALE,55,59,35.4,100,,,,Y
H34,TX,RECUP,IND,MALE,60,64,52.8,100,,,,Y
H34,TX,RECUP,IND,MALE,65,69,71.1,100,,,,Y
H34,TX,RECUP,IND,MALE,70,74,87.3,100,,,,Y
H34,TX,RECUP,IND,MALE,75,80,104.4,100,,,,Y
H34,TX,RECUP,IND,FEMALE,19,34,13.6,100,,,,Y
H34,TX,RECUP,IND,FEMALE,35,44,21.8,100,,,,Y
H34,TX,RECUP,IND,FEMALE,45,54,27.4,100,,,,Y
H34,TX,RECUP,IND,FEMALE,55,59,34.5,100,,,,Y
H34,TX,RECUP,IND,FEMALE,60,64,48.8,100,,,,Y
H34,TX,RECUP,IND,FEMALE,65,69,67.0,100,,,,Y
H34,TX,RECUP,IND,FEMALE,70,74,83.4,100,,,,Y
H34,TX,RECUP,IND,FEMALE,75,80,100.8,100,,,,Y
H34,TX,RECUP,IND,MALE,19,34,11.7,150,,,,Y
H34,TX,RECUP,IND,MALE,35,44,21.0,150,,,,Y
H34,TX,RECUP,IND,MALE,45,54,34.95,150,,,,Y
H34,TX,RECUP,IND,MALE,55,59,53.1,150,,,,Y
H34,TX,RECUP,IND,MALE,60,64,79.2,150,,,,Y
H34,TX,RECUP,IND,MALE,65,69,106.65,150,,,,Y
H34,TX,RECUP,IND,MALE,70,74,130.95,150,,,,Y
H34,TX,RECUP,IND,MALE,75,80,156.6,150,,,,Y
H34,TX,RECUP,IND,FEMALE,19,34,20.4,150,,,,Y
H34,TX,RECUP,IND,FEMALE,35,44,32.7,150,,,,Y
H34,TX,RECUP,IND,FEMALE,45,54,41.1,150,,,,Y
H34,TX,RECUP,IND,FEMALE,55,59,51.75,150,,,,Y
H34,TX,RECUP,IND,FEMALE,60,64,73.2,150,,,,Y
H34,TX,RECUP,IND,FEMALE,65,69,100.5,150,,,,Y
H34,TX,RECUP,IND,FEMALE,70,74,125.1,150,,,,Y
H34,TX,RECUP,IND,FEMALE,75,80,151.2,150,,,,Y
A71,MI,BASE,IND,,18,49,2.38,100,,,,Y
A71,MI,BASE,FAM,,18,49,4.75,100,,,,Y
A71,MI,BASE,IND,,50,59,2.63,100,,,,Y
A71,MI,BASE,FAM,,50,59,5.25,100,,,,Y
A71,MI,BASE,IND,,60,64,3.25,100,,,,Y
A71,MI,BASE,FAM,,60,64,6.25,100,,,,Y
A71,MI,BASE,IND,,65,74,6.25,100,,,,Y
A71,MI,BASE,FAM,,65,74,12.25,100,,,,Y
A71,MI,BM000_DOUBLE,IND,,18,49,4.13,100,,,,Y
A71,MI,BM000_DOUBLE,FAM,,18,49,8.5,100,,,,Y
A71,MI,BM000_DOUBLE,IND,,50,59,4.63,100,,,,Y
A71,MI,BM000_DOUBLE,FAM,,50,59,9.5,100,,,,Y
A71,MI,BM000_DOUBLE,IND,,60,64,5.5,100,,,,Y
A71,MI,BM000_DOUBLE,FAM,,60,64,10.75,100,,,,Y
A71,MI,BASE,IND,,18,49,4.5,200,,,,Y
A71,MI,BASE,FAM,,18,49,9.25,200,,,,Y
A71,MI,BASE,IND,,50,59,5.0,200,,,,Y
A71,MI,BASE,FAM,,50,59,10.25,200,,,,Y
A71,MI,BASE,IND,,60,64,6.25,200,,,,Y
A71,MI,BASE,FAM,,60,64,12.25,200,,,,Y
A71,MI,BASE,IND,,65,120,12.25,200,,,,Y
A71,MI,BASE,FAM,,65,120,24.25,200,,,,Y
A71,MI,BM000_DOUBLE,IND,,18,49,6.25,200,,,,Y
A71,MI,BM000_DOUBLE,FAM,,18,49,13.0,200,,,,Y
A71,MI,BM000_DOUBLE,IND,,50,59,7.0,200,,,,Y
A71,MI,BM000_DOUBLE,FAM,,50,59,14.5,200,,,,Y
A71,MI,BM000_DOUBLE,IND,,60,64,8.5,200,,,,Y
A71,MI,BM000_DOUBLE,FAM,,60,64,16.75,200,,,,Y
A71,MI,BASE,IND,,18,49,6.63,300,,,,Y
A71,MI,BASE,FAM,,18,49,13.75,300,,,,Y
A71,MI,BASE,IND,,50,59,7.38,300,,,,Y
A71,MI,BASE,FAM,,50,59,15.25,300,,,,Y
A71,MI,BASE,IND,,60,64,9.25,300,,,,Y
A71,MI,BASE,FAM,,60,64,18.25,300,,,,Y
A71,MI,BASE,IND,,65,120,18.25,300,,,,Y
A71,MI,BASE,FAM,,65,120,36.25,300,,,,Y
A71,MI,BM000_SINGLE,IND,,18,49,7.5,300,,,,Y
A71,MI,BM000_SINGLE,FAM,,18,49,15.63,300,,,,Y
A71,MI,BM000_SINGLE,IND,,50,59,8.38,300,,,,Y
A71,MI,BM000_SINGLE,FAM,,50,59,17.38,300,,,,Y
A71,MI,BM000_SINGLE,IND,,60,64,10.38,300,,,,Y
A71,MI,BM000_SINGLE,FAM,,60,64,20.5,300,,,,Y
A71,MI,BM000_DOUBLE,IND,,18,49,8.38,300,,,,Y
A71,MI,BM000_DOUBLE,FAM,,18,49,17.5,300,,,,Y
A71,MI,BM000_DOUBLE,IND,,50,59,9.38,300,,,,Y
A71,MI,BM000_DOUBLE,FAM,,50,59,19.5,300,,,,Y
A71,MI,BM000_DOUBLE,IND,,60,64,11.5,300,,,,Y
A71,MI,BM000_DOUBLE,FAM,,60,64,22.75,300,,,,Y
A74,MI,BASE,IND,,18,60,9.5,,,1,,Y
A74,MI,BASE,IND,,18,60,18.75,,,2,,Y
C20,MI,,IND,MALE,18,34,3.0,,10000,,,Y
C20,MI,,IND,MALE,35,39,5.0,,10000,,,Y
C20,MI,,IND,MALE,40,44,9.0,,10000,,,Y
C20,MI,,IND,MALE,45,49,13.0,,10000,,,Y
C20,MI,,IND,MALE,50,54,19.0,,10000,,,Y
C20,MI,,IND,MALE,55,59,25.0,,10000,,,Y
C20,MI,,IND,MALE,60,64,32.0,,10000,,,Y
C20,MI,,IND,FEMALE,18,34,7.0,,10000,,,Y
C20,MI,,IND,FEMALE,35,39,9.0,,10000,,,Y
C20,MI,,IND,FEMALE,40,44,13.0,,10000,,,Y
C20,MI,,IND,FEMALE,45,49,17.0,,10000,,,Y
C20,MI,,IND,FEMALE,50,54,19.0,,10000,,,Y
C20,MI,,IND,FEMALE,55,59,25.0,,10000,,,Y
C20,MI,,IND,FEMALE,60,64,32.0,,10000,,,Y
C20,MI,,CHILD,CHILD,0,18,1.0,,10000,,,Y
C20,MI,,IND,MALE,18,34,7.5,,25000,,,Y
C20,MI,,IND,MALE,35,39,12.5,,25000,,,Y
C20,MI,,IND,MALE,40,44,20.0,,25000,,,Y
C20,MI,,IND,MALE,45,49,30.0,,25000,,,Y
C20,MI,,IND,MALE,50,54,45.0,,25000,,,Y
C20,MI,,IND,MALE,55,59,55.0,,25000,,,Y
C20,MI,,IND,MALE,60,64,60.0,,25000,,,Y
C20,MI,,IND,FEMALE,18,34,17.5,,25000,,,Y
C20,MI,,IND,FEMALE,35,39,22.5,,25000,,,Y
C20,MI,,IND,FEMALE,40,44,30.0,,25000,,,Y
C20,MI,,IND,FEMALE,45,49,40.0,,25000,,,Y
C20,MI,,IND,FEMALE,50,54,45.0,,25000,,,Y
C20,MI,,IND,FEMALE,55,59,55.0,,25000,,,Y
C20,MI,,IND,FEMALE,60,64,60.0,,25000,,,Y
C20,MI,,CHILD,CHILD,0,18,2.5,,25000,,,Y
C20,MI,,IND,MALE,18,34,15.0,,50000,,,Y
C20,MI,,IND,MALE,35,39,25.0,,50000,,,Y
C20,MI,,IND,MALE,40,44,40.0,,50000,,,Y
C20,MI,,IND,MALE,45,49,60.0,,50000,,,Y
C20,MI,,IND,MALE,50,54,90.0,,50000,,,Y
C20,MI,,IND,MALE,55,59,110.0,,50000,,,Y
C20,MI,,IND,MALE,60,64,120.0,,50000,,,Y
C20,MI,,IND,FEMALE,18,34,35.0,,50000,,,Y
C20,MI,,IND,FEMALE,35,39,45.0,,50000,,,Y
C20,MI,,IND,FEMALE,40,44,60.0,,50000,,,Y
C20,MI,,IND,FEMALE,45,49,80.0,,50000,,,Y
C20,MI,,IND,FEMALE,50,54,90.0,,50000,,,Y
C20,MI,,IND,FEMALE,55,59,110.0,,50000,,,Y
C20,MI,,IND,FEMALE,60,64,120.0,,50000,,,Y
C20,MI,,CHILD,CHILD,0,18,5.0,,50000,,,Y
C10,MI,,ONE_ADULT,MALE,19,29,0.8,,,10,,Y
C10,MI,,ONE_ADULT,MALE,30,39,2.41,,,10,,Y
C10,MI,,ONE_ADULT,MALE,40,49,5.81,,,10,,Y
C10,MI,,ONE_ADULT,MALE,50,59,11.26,,,10,,Y
C10,MI,,ONE_ADULT,MALE,60,69,17.66,,,10,,Y
C10,MI,,ONE_ADULT,MALE,70,120,23.28,,,10,,Y
C10,MI,,ONE_ADULT,FEMALE,19,29,1.1,,,10,,Y
C10,MI,,ONE_ADULT,FEMALE,30,39,1.98,,,10,,Y
C10,MI,,ONE_ADULT,FEMALE,40,49,3.94,,,10,,Y
C10,MI,,ONE_ADULT,FEMALE,50,59,6.18,,,10,,Y
C10,MI,,ONE_ADULT,FEMALE,60,69,7.84,,,10,,Y
C10,MI,,ONE_ADULT,FEMALE,70,120,8.88,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,19,29,1.63,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,30,39,3.25,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,40,49,6.65,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,50,59,12.1,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,60,69,17.66,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,70,120,23.28,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,19,29,1.94,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,30,39,2.81,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,40,49,4.77,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,50,59,7.01,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,60,69,7.84,,,10,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,70,120,8.88,,,10,,Y
C10,MI,ADD_PER_POLICY,,,,,1.5,,,10,,Y
C10,MI,,ONE_ADULT,MALE,19,29,1.19,,,15,,Y
C10,MI,,ONE_ADULT,MALE,30,39,3.62,,,15,,Y
C10,MI,,ONE_ADULT,MALE,40,49,8.72,,,15,,Y
C10,MI,,ONE_ADULT,MALE,50,59,16.89,,,15,,Y
C10,MI,,ONE_ADULT,MALE,60,69,26.49,,,15,,Y
C10,MI,,ONE_ADULT,MALE,70,120,34.92,,,15,,Y
C10,MI,,ONE_ADULT,FEMALE,19,29,1.65,,,15,,Y
C10,MI,,ONE_ADULT,FEMALE,30,39,2.97,,,15,,Y
C10,MI,,ONE_ADULT,FEMALE,40,49,5.9,,,15,,Y
C10,MI,,ONE_ADULT,FEMALE,50,59,9.27,,,15,,Y
C10,MI,,ONE_ADULT,FEMALE,60,69,11.75,,,15,,Y
C10,MI,,ONE_ADULT,FEMALE,70,120,13.32,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,19,29,2.44,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,30,39,4.87,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,40,49,9.97,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,50,59,18.14,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,60,69,26.49,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,MALE,70,120,34.92,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,19,29,2.9,,,15,,Y
C10,MI,,ADULT_WITH_CHILDREN,FEMALE,30,39,4.22,,,15,,Y
