record_type,plan_code,plan_name,source_page,age,age_band,sex,tobacco,base_rate,wp_rate,rate_basis,unit_basis,coverage_fixed,face_min,face_max,policy_fee_annual,volume_adjustment_annual,cv20_per_1000,note,quote_face_amount_input,quote_units_input,include_wp_flag,sold_as_policy_flag,units_derived,annual_premium_base,annual_premium_total,quarterly_total,mbd_base,mbd_total,monthly_direct_total
rate,WL,Whole Life Regular,20,15,,Female,NTU,9.12,0.30,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,15,,Male,NTU,10.06,0.22,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,16,,Female,NTU,9.63,0.31,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,16,,Male,NTU,10.59,0.22,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,17,,Female,NTU,9.93,0.33,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,17,,Male,NTU,10.97,0.23,annual_per_1000,per_$1000,,1000.00,15099.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,18,,Female,NTU,9.20,0.33,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,18,,Female,TU,11.54,0.38,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,18,,Male,NTU,10.21,0.23,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,18,,Male,TU,12.81,0.26,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,19,,Female,NTU,9.55,0.34,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,19,,Female,TU,11.96,0.39,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,19,,Male,NTU,10.57,0.23,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,19,,Male,TU,13.27,0.27,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,20,,Female,NTU,9.91,0.34,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,20,,Female,TU,12.41,0.40,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,20,,Male,NTU,10.95,0.24,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,20,,Male,TU,13.75,0.27,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,21,,Female,NTU,10.29,0.36,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,21,,Female,TU,12.86,0.41,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,21,,Male,NTU,11.34,0.26,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,21,,Male,TU,14.29,0.28,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,22,,Female,NTU,10.67,0.38,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,22,,Female,TU,13.35,0.42,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,22,,Male,NTU,11.79,0.26,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,22,,Male,TU,14.82,0.29,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,23,,Female,NTU,11.10,0.40,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,23,,Female,TU,13.88,0.44,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,23,,Male,NTU,12.25,0.27,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,23,,Male,TU,15.43,0.30,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,24,,Female,NTU,11.57,0.41,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,24,,Female,TU,14.47,0.45,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,24,,Male,NTU,12.73,0.28,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,24,,Male,TU,16.07,0.33,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,25,,Female,NTU,12.08,0.42,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,25,,Female,TU,15.11,0.47,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,25,,Male,NTU,13.30,0.29,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,25,,Male,TU,16.77,0.34,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,26,,Female,NTU,12.65,0.44,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,26,,Female,TU,15.83,0.49,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,26,,Male,NTU,13.95,0.30,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,26,,Male,TU,17.56,0.36,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,27,,Female,NTU,13.28,0.46,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,27,,Female,TU,16.59,0.52,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,27,,Male,NTU,14.65,0.33,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,27,,Male,TU,18.43,0.39,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,28,,Female,NTU,13.95,0.48,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,28,,Female,TU,17.42,0.55,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,28,,Male,NTU,15.38,0.34,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,28,,Male,TU,19.33,0.41,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,29,,Female,NTU,14.66,0.50,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,29,,Female,TU,18.29,0.59,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,29,,Male,NTU,16.16,0.38,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,29,,Male,TU,20.30,0.43,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,30,,Female,NTU,15.39,0.54,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,30,,Female,TU,19.23,0.63,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,30,,Male,NTU,17.01,0.40,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,30,,Male,TU,21.36,0.45,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,31,,Female,NTU,16.14,0.56,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,31,,Female,TU,20.26,0.67,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,31,,Male,NTU,17.94,0.42,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,31,,Male,TU,22.48,0.48,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,32,,Female,NTU,16.91,0.61,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,32,,Female,TU,21.34,0.71,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,32,,Male,NTU,18.91,0.44,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,32,,Male,TU,23.67,0.51,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,33,,Female,NTU,17.71,0.64,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,33,,Female,TU,22.46,0.78,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,33,,Male,NTU,19.95,0.47,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,33,,Male,TU,24.96,0.55,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,34,,Female,NTU,18.51,0.69,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,34,,Female,TU,23.68,0.84,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,34,,Male,NTU,21.05,0.50,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,34,,Male,TU,26.30,0.61,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,35,,Female,NTU,19.33,0.73,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,35,,Female,TU,24.92,0.90,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,35,,Male,NTU,22.19,0.54,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,35,,Male,TU,27.75,0.66,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,36,,Female,NTU,20.15,0.79,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,36,,Female,TU,26.17,0.97,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,36,,Male,NTU,23.29,0.58,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,36,,Male,TU,29.35,0.70,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,37,,Female,NTU,20.99,0.84,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,37,,Female,TU,27.50,1.04,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,37,,Male,NTU,24.47,0.63,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,37,,Male,TU,31.03,0.77,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,38,,Female,NTU,21.86,0.90,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,38,,Female,TU,28.88,1.13,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,38,,Male,NTU,25.73,0.68,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,38,,Male,TU,32.82,0.84,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,39,,Female,NTU,22.73,0.97,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,39,,Female,TU,30.35,1.22,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,39,,Male,NTU,27.04,0.73,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,39,,Male,TU,34.70,0.92,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,40,,Female,NTU,23.60,1.02,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,40,,Female,TU,31.89,1.34,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,40,,Male,NTU,28.43,0.82,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
rate,WL,Whole Life Regular,20,40,,Male,TU,36.69,1.00,annual_per_1000,per_$1000,,1000.00,34999.00,0.00,0.00,,,,,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
